Date,Product,Predicted_Price_EGP
2026-04-01,citrus,40.98
2026-05-01,citrus,41.47
2026-06-01,citrus,42.11
2026-07-01,citrus,42.47
2026-08-01,citrus,42.98
2026-09-01,citrus,43.5
2026-10-01,citrus,44.02
2026-11-01,citrus,45.91
2026-12-01,citrus,49.02
2027-01-01,citrus,53.99
2027-02-01,citrus,56.08
2027-03-01,citrus,55.89
2027-04-01,citrus,56.53
2027-05-01,citrus,57.23
2027-06-01,citrus,59.37
2027-07-01,citrus,57.77
2027-08-01,citrus,58.65
2027-09-01,citrus,60.23
2027-10-01,citrus,67.23
2027-11-01,citrus,74.37
2027-12-01,citrus,82.73
2028-01-01,citrus,93.94
2028-02-01,citrus,104.69
2028-03-01,citrus,116.27
2028-04-01,citrus,128.79
2028-05-01,citrus,151.76
2028-06-01,citrus,188.19
2028-07-01,citrus,236.06
2028-08-01,citrus,299.94
2028-09-01,citrus,351.46
2028-10-01,citrus,364.16
2028-11-01,citrus,369.38
2028-12-01,citrus,375.07
2026-04-01,coriander,63.31
2026-05-01,coriander,64.07
2026-06-01,coriander,64.84
2026-07-01,coriander,65.61
2026-08-01,coriander,66.4
2026-09-01,coriander,67.2
2026-10-01,coriander,68.01
2026-11-01,coriander,68.82
2026-12-01,coriander,69.71
2027-01-01,coriander,72.36
2027-02-01,coriander,72.89
2027-03-01,coriander,72.18
2027-04-01,coriander,73.05
2027-05-01,coriander,73.93
2027-06-01,coriander,74.81
2027-07-01,coriander,78.75
2027-08-01,coriander,80.9
2027-09-01,coriander,88.09
2027-10-01,coriander,92.46
2027-11-01,coriander,102.98
2027-12-01,coriander,118.16
2028-01-01,coriander,131.68
2028-02-01,coriander,149.84
2028-03-01,coriander,169.99
2028-04-01,coriander,200.4
2028-05-01,coriander,256.03
2028-06-01,coriander,338.27
2028-07-01,coriander,348.34
2028-08-01,coriander,352.03
2028-09-01,coriander,357.36
2028-10-01,coriander,363.84
2028-11-01,coriander,369.78
2028-12-01,coriander,375.22
2026-04-01,corn oil,117.61
2026-05-01,corn oil,119.02
2026-06-01,corn oil,120.45
2026-07-01,corn oil,121.9
2026-08-01,corn oil,129.94
2026-09-01,corn oil,140.92
